Date,CFG,PRU,PNC,RF,MTB,SCHW,HBAN,RJF,USB,KEY
2015-12-31,25.223381,76.878365,91.055138,9.210814,116.7099,32.366974,10.564028,56.633022,40.949497,12.660483
2016-01-04,24.847776,75.395737,89.001122,9.057302,113.146385,31.433214,10.22017,55.040615,39.807476,12.439717
2016-01-05,24.732206,75.140785,89.125336,9.038113,113.7724,31.334923,10.239275,55.157845,39.999416,12.334134
2016-01-06,24.346972,72.638283,87.510765,8.884599,111.470558,30.263559,10.076897,53.008583,39.394814,12.113368
2016-01-07,23.682432,69.682526,85.294327,8.596762,108.330826,28.681091,9.771247,50.820244,38.646267,11.691033
2016-01-08,22.940855,68.983719,84.033272,8.404868,106.106026,28.504162,9.599319,49.657692,38.099247,11.441468
2016-01-11,23.0179,68.832626,84.338974,8.328113,105.104393,28.248611,9.647078,50.087543,38.252796,11.460665
2016-01-12,23.0179,69.04982,85.02684,8.38568,106.414215,28.740065,9.723491,49.530693,38.982155,11.566251
2016-01-13,22.362997,67.822182,82.552467,7.992301,102.78331,27.236219,9.312773,47.40097,37.437069,11.211103
2016-01-14,22.05481,68.058258,83.484665,8.021085,103.255226,27.63921,9.408289,48.2509,38.319977,11.355082
2016-01-15,21.496216,66.264023,82.965714,7.867571,100.635567,26.55802,9.150397,47.127426,37.475452,11.04793
2016-01-19,21.409538,65.433014,82.004677,7.752437,102.426949,26.05674,9.054879,47.273968,37.552235,10.875154
2016-01-20,20.802792,63.610447,80.889877,7.579733,100.866714,24.83794,8.844747,46.179798,37.302711,10.750374
2016-01-21,20.542753,64.337585,80.85144,7.512571,98.468544,23.963156,8.596406,43.659298,36.966827,10.721579
2016-01-22,20.013054,65.980743,82.398705,7.608518,100.722237,25.388365,8.739678,44.411537,37.782555,10.865556
2016-01-25,19.059591,64.101509,79.505997,7.263112,98.035156,24.739651,8.405375,41.812889,36.746101,10.414426
2016-01-26,19.541142,65.263031,81.158966,7.502977,101.781662,25.014864,7.689007,42.174358,37.446671,10.500811
2016-01-27,20.427185,64.696434,81.735588,7.627706,103.58268,24.818281,7.889589,42.447903,37.600216,10.481614
2016-01-28,20.93762,65.008064,81.601044,7.685275,104.208694,24.395634,8.099725,41.734734,37.638603,10.635191
2016-01-29,20.465708,66.179039,83.273239,7.790815,106.115662,25.093494,8.195241,42.799599,38.444733,10.711978
2016-02-01,20.013054,65.697426,82.735054,7.618112,104.170189,24.847769,8.252549,43.229446,38.195213,10.635191
2016-02-02,19.55821,63.487679,80.534302,7.32068,101.666077,23.697773,8.032864,40.933651,37.187553,10.328038
2016-02-03,19.403372,63.072178,80.582352,7.502977,102.253578,23.963156,8.137933,40.738262,37.696186,10.347234
2016-02-04,19.577564,63.251606,81.581825,7.579733,104.199081,24.543066,8.281204,42.272049,38.492718,10.472017
2016-02-05,19.209822,61.71233,80.313263,7.483788,103.823448,23.943499,8.195241,42.399055,38.473526,10.366432
2016-02-08,18.580784,59.804775,78.583412,7.224735,101.993546,23.206326,8.032864,40.972717,37.9361,10.126469
2016-02-09,18.919495,60.050301,78.996651,7.339869,103.55378,22.940939,8.071071,41.422119,37.811352,10.212855
2016-02-10,18.251751,60.494141,78.333542,7.205544,101.579414,22.369385,7.994658,40.8848,37.465858,10.097672
2016-02-11,17.554972,54.771465,75.123711,6.792977,97.062408,21.896376,7.650801,39.497551,35.939972,9.598548
2016-02-12,18.280781,58.208843,77.776131,7.291896,102.02243,22.487638,8.061518,40.054401,37.523441,10.068876
2016-02-16,18.735626,59.908646,80.024948,7.522166,104.863609,23.236568,8.348064,41.246265,38.569489,10.472017
2016-02-17,19.01627,62.892742,80.784172,7.502977,104.526527,24.123459,8.37672,42.311131,38.502312,10.491213
2016-02-18,18.493685,62.458355,79.361839,7.311085,102.243965,23.808123,8.137933,42.223202,37.89772,10.212855
2016-02-19,18.619493,62.382,79.592491,7.339869,103.101135,24.084042,8.281204,42.858212,37.868923,10.270446
2016-02-22,19.16143,63.069195,81.158966,7.579733,105.402962,24.182587,8.443581,43.219681,38.60788,10.491213
2016-02-23,18.745302,61.647083,79.582886,7.263112,102.060966,23.778559,8.223895,42.438126,37.302711,10.203257
2016-02-24,18.387234,61.76162,79.092766,7.119193,100.982277,23.335114,8.157035,41.930119,36.890053,10.11687
2016-02-25,18.561428,63.059647,79.707817,7.205544,101.406052,23.739143,8.252549,43.082909,37.561832,10.260848
2016-02-26,19.103369,63.93774,80.697685,7.435815,103.015518,25.089188,8.548648,43.923073,37.70578,10.362345
2016-02-29,18.609816,63.078735,78.141342,7.215139,99.428162,24.685156,8.357616,42.828903,36.966827,10.198016
2016-03-01,19.616276,67.106468,81.187798,7.656491,101.997475,26.005642,8.768333,44.714397,38.291187,10.536338
2016-03-02,20.284019,67.535965,82.302597,7.790815,105.565453,26.350544,8.8734,45.056316,38.895779,10.932659
2016-03-03,20.748545,68.59539,83.205963,7.944328,106.505905,26.715157,9.1695,45.251717,39.126102,11.087321
2016-03-04,21.22274,68.213623,83.897911,8.04987,106.874352,26.754574,9.236361,45.193092,39.375626,11.164653
2016-03-07,20.835644,68.843536,83.571152,8.040274,106.370178,27.12904,9.150397,45.378708,39.126102,11.058323
