Date,EQIX,AVY,MAS,STZ,BSX,AMZN,FB,GPN,BDX,FBHS
2015-12-31,302.399994,60.360294,27.631004,139.581116,18.440001,675.890015,104.660004,64.447533,149.841904,54.251087
2016-01-04,296.079987,58.953873,27.142822,137.866241,17.99,636.98999,102.220001,62.519413,143.87117,53.645035
2016-01-05,303.410004,59.406628,27.035425,140.737427,18.18,633.789978,102.730003,63.488461,144.328201,52.990112
2016-01-06,309.130005,58.713055,26.824783,140.247467,18.0,632.650024,102.970001,63.688271,142.889023,51.20129
2016-01-07,303.290009,56.950214,25.600134,146.607208,17.639999,607.940002,97.919998,61.300591,140.545425,48.562054
2016-01-08,309.790009,57.499287,25.012299,144.049606,17.43,607.049988,97.330002,60.121727,138.435272,49.304947
2016-01-11,312.880005,57.518559,24.640005,144.098587,17.129999,617.73999,97.510002,58.463341,137.258621,48.718456
2016-01-12,314.920013,57.701591,25.002502,144.088791,17.790001,617.890015,99.370003,58.463341,138.522781,48.767323
2016-01-13,305.579987,56.516731,24.042377,141.237213,17.549999,581.809998,95.440002,56.345394,137.4823,46.108532
2016-01-14,310.98999,57.730488,24.444059,140.374863,18.16,593.0,98.370003,57.304462,141.401199,47.12513
2016-01-15,303.190002,56.776821,24.316698,139.884903,17.870001,570.179993,94.970001,57.044716,138.503342,46.128086
2016-01-19,295.109985,56.805725,24.208925,142.697281,17.57,574.47998,95.260002,57.2645,138.571426,46.440884
2016-01-20,294.359985,56.853886,23.768051,142.226913,17.540001,571.77002,94.349998,57.973812,136.976608,46.597282
2016-01-21,289.779999,56.728657,24.404873,140.570816,17.559999,575.02002,94.160004,57.234531,137.744843,46.607063
2016-01-22,297.049988,58.510754,25.051489,145.774277,17.85,596.380005,97.940002,58.803017,140.769089,47.447701
2016-01-25,299.929993,56.025452,24.855543,145.274506,17.530001,596.530029,97.010002,57.604172,140.905258,46.470215
2016-01-26,303.640015,57.42223,25.14946,145.401917,17.379999,601.25,97.339996,58.603207,141.498444,46.753685
2016-01-27,299.570007,57.50893,25.247435,143.17749,17.219999,583.349976,94.449997,56.495243,142.013794,46.059662
2016-01-28,300.220001,57.171776,24.904531,148.772858,16.9,635.349976,109.110001,55.795925,138.357483,45.72731
2016-01-29,310.570007,58.655254,25.854858,149.419617,17.530001,587.0,112.209999,58.892918,141.362274,47.496586
2016-02-01,311.440002,58.790112,25.737291,151.261887,17.879999,574.809998,115.089996,59.562271,141.99437,47.046932
2016-02-02,312.589996,57.663059,24.561628,149.44902,17.84,552.099976,114.610001,56.495243,141.051102,45.502487
2016-02-03,309.540009,61.400658,24.747776,147.381363,17.73,531.070007,112.690002,57.27449,137.190552,45.336315
2016-02-04,308.450012,62.007526,24.875137,144.00061,17.34,536.26001,110.489998,57.63414,134.107986,45.590462
2016-02-05,288.440002,60.880478,23.80724,135.46701,16.620001,502.130005,104.07,55.706013,131.521271,44.456562
2016-02-08,268.839996,59.079105,22.98427,132.521011,16.07,488.100006,99.75,52.489132,129.21666,44.27084
2016-02-09,265.049988,60.581848,24.875137,133.640488,16.870001,482.070007,99.540001,52.419197,130.636383,44.583641
2016-02-10,273.339996,60.726345,24.992704,136.301758,16.92,490.480011,101.0,54.437622,132.386765,44.964859
2016-02-11,275.049988,59.99424,24.463655,133.169128,16.58,503.820007,101.910004,54.8573,131.599091,44.251289
2016-02-12,284.880005,61.631847,25.296419,135.545547,16.639999,507.079987,102.010002,56.755817,135.955597,45.805511
2016-02-16,291.299988,62.450649,25.894047,136.782898,17.16,521.099976,101.610001,58.054806,138.201904,46.675484
2016-02-17,290.649994,61.843773,26.677826,139.453934,17.57,534.099976,105.199997,59.143963,140.137054,48.415424
2016-02-18,290.309998,61.824501,26.481882,137.804184,17.209999,525.0,103.470001,57.96487,139.232666,48.493626
2016-02-19,299.369995,62.219456,27.059921,136.998947,17.16,534.900024,104.57,59.113983,140.905258,48.46431
2016-02-22,299.829987,62.643303,27.226469,138.069321,17.26,559.5,107.160004,61.412189,141.663727,49.128998
2016-02-23,292.059998,61.641483,27.784914,136.959656,17.24,552.940002,105.459999,60.532883,142.422272,49.979424
2016-02-24,295.01001,62.402485,28.098425,136.576675,17.33,554.039978,106.879997,61.841858,143.404388,50.077477
2016-02-25,307.48999,63.808903,28.323757,141.054611,17.32,555.150024,108.07,62.331482,144.57132,49.940197
2016-02-26,306.769989,64.011177,28.157206,139.493225,17.209999,555.22998,107.919998,61.552086,145.514572,50.175537
2016-02-29,303.690002,63.081257,27.628159,138.884369,16.98,552.52002,106.919998,60.902592,143.384949,49.243999
2016-03-01,308.399994,64.698967,28.607878,141.918762,17.219999,579.039978,109.82,62.661224,145.981323,50.381458
2016-03-02,304.01001,65.338303,28.480513,141.192078,17.370001,580.210022,109.949997,62.171608,146.564804,50.410877
2016-03-03,310.589996,66.103561,28.38254,141.850021,17.41,577.48999,109.580002,62.91103,145.378418,50.401073
2016-03-04,309.720001,65.735466,28.402134,141.309921,17.440001,575.140015,108.389999,63.210796,145.038086,51.097271
2016-03-07,297.730011,65.812965,28.372746,136.213333,17.33,562.799988,105.730003,60.482914,144.581055,50.342236
2016-03-08,298.75,66.045448,28.549093,137.450668,17.35,560.26001,105.93,58.884171,143.770325,49.812725
