Date,O,T,SJM,NEM,SCG,GIS,AWK,TSN,CPB,REG
2015-12-31,47.85994,31.185871,117.750534,17.833899,56.914455,54.101059,57.388065,52.196251,50.056568,64.199959
2016-01-04,47.442791,31.131491,116.834045,18.279995,57.083817,53.913399,57.935532,51.834118,49.208801,63.65332
2016-01-05,48.471748,31.349005,117.712364,18.260168,57.450764,53.669453,57.772255,51.188148,49.389778,64.897362
2016-01-06,48.759102,31.303053,116.853142,18.398952,57.403721,53.228455,57.52253,51.148998,49.30405,65.274338
2016-01-07,47.915554,30.797573,114.857857,18.696352,57.347263,52.112644,57.090317,51.060909,48.702217,64.671181
2016-01-08,47.433521,30.825142,114.600098,17.853729,57.112038,52.282852,57.311226,51.188148,48.980137,64.115135
2016-01-11,48.453197,31.201956,115.268356,16.862402,57.290813,52.869129,57.868298,51.59922,49.258053,64.492104
2016-01-12,48.601517,31.156006,116.156212,16.862402,57.036766,53.304111,57.810677,52.440937,51.251373,64.171669
2016-01-13,48.0546,31.008955,113.759972,17.328327,56.669823,52.292305,57.714626,51.990715,50.59013,63.549652
2016-01-14,48.434666,31.523624,114.848312,17.12015,57.535446,52.339584,58.4734,51.785179,51.260952,63.351749
2016-01-15,48.379051,31.238722,112.900757,17.546417,56.952087,51.762764,58.089207,50.395367,50.781792,63.804123
2016-01-19,49.139168,31.716623,114.304146,16.168476,57.921204,52.405773,58.598259,48.623848,52.065948,65.396866
2016-01-20,48.082409,31.156006,113.970009,16.416309,56.575737,51.592556,58.223671,48.897892,51.845531,64.699448
2016-01-21,48.684944,31.744204,113.855438,16.545181,56.52869,51.176487,57.868298,49.925571,51.835953,64.473267
2016-01-22,50.093956,32.295631,117.320938,16.535267,57.55426,52.320671,59.971729,50.131107,52.37262,65.905785
2016-01-25,49.954914,32.166969,116.328056,17.516678,56.961502,51.8195,59.011261,50.199623,52.334278,65.557083
2016-01-26,51.16925,32.534592,117.359131,18.339476,57.065002,52.131554,59.885284,51.383896,52.851784,67.272346
2016-01-27,51.058025,32.608116,118.800697,19.271318,56.94268,51.951885,59.971729,50.757504,52.708031,66.254501
2016-01-28,51.047779,32.65406,120.566849,19.36054,57.761253,52.207203,60.941807,51.471981,53.407604,66.499527
2016-01-29,51.90369,33.141163,122.504868,19.786808,59.229042,53.436501,62.34409,52.225613,54.059277,68.224228
2016-02-01,52.703793,33.25145,123.27816,20.371687,60.376926,53.587788,62.459351,53.155418,54.49052,69.006462
2016-02-02,53.234077,33.141163,122.514412,19.895853,60.84737,52.76511,62.776306,51.87326,53.96344,68.214813
2016-02-03,53.355019,33.747742,123.507278,22.146154,62.004669,52.642185,63.275738,51.794968,53.944267,68.846252
2016-02-04,53.47596,33.57312,120.223167,23.177132,61.336639,52.122097,61.721371,50.845589,53.033859,68.092278
