Date,LH,PFE,WAT,MCO,EBAY,ZBH,CSCO,MRK,MDT,ABBV
2015-12-31,123.639999,29.926397,134.580002,97.562645,27.48,101.111046,25.341749,50.067657,74.097366,55.027214
2016-01-04,122.889999,29.620461,130.350006,94.528999,26.43,100.342285,24.833977,49.745384,72.989571,53.51313
2016-01-05,122.0,29.833691,129.809998,95.841637,26.120001,102.431732,24.721138,50.380466,73.2015,53.290199
2016-01-06,120.839996,29.30525,129.710007,94.130348,26.41,102.875244,24.457848,49.688507,73.403778,53.299484
2016-01-07,118.589996,29.110558,128.820007,90.153557,25.690001,100.50985,23.89365,49.252476,71.679482,53.141571
2016-01-08,116.25,28.739725,126.720001,87.586632,25.75,100.086037,23.301247,48.418339,71.072586,51.692516
2016-01-11,115.620003,28.804619,126.080002,88.345047,26.1,98.361267,23.762003,48.579475,70.32122,50.048382
2016-01-12,115.120003,28.739725,126.82,88.646469,26.209999,101.387016,23.837233,49.062901,73.634987,50.940117
2016-01-13,111.769997,28.155659,123.919998,84.698845,25.41,99.741089,23.131989,48.02021,71.910675,48.039711
2016-01-14,111.690002,28.841703,127.029999,85.68087,25.860001,101.219467,23.188408,49.100819,72.045532,51.212318
2016-01-15,111.07,28.56358,126.239998,83.609848,25.26,99.622818,22.210468,48.475204,71.207451,53.821743
2016-01-19,109.93,28.452328,125.849998,84.037659,25.77,97.809334,22.426744,48.664783,71.843246,51.615936
2016-01-20,109.690002,28.424517,125.019997,83.745964,25.82,96.863174,21.533436,47.915951,71.833595,53.643398
2016-01-21,109.0,28.350348,124.559998,83.42511,26.09,96.764626,21.533436,48.266663,71.862503,54.77916
2016-01-22,112.959999,28.470867,127.209999,85.972588,26.43,97.720642,21.975389,48.674267,73.134071,55.220322
2016-01-25,110.989998,28.276182,127.620003,84.348801,26.139999,97.631935,21.787325,48.266663,72.922134,55.051373
2016-01-26,112.699997,28.433788,122.550003,85.885063,26.65,100.273308,22.304501,48.769054,72.816162,54.685295
2016-01-27,112.82,28.294722,121.25,85.573929,26.42,100.174736,22.031807,47.745331,72.719841,53.605862
2016-01-28,109.790001,27.998053,117.449997,84.718277,23.129999,96.143707,21.730904,46.636295,71.19783,52.423172
2016-01-29,112.349998,28.266909,121.209999,86.672661,23.459999,97.829056,22.370323,48.029697,73.134071,51.53146
2016-02-01,112.269997,27.97024,120.360001,85.573929,23.940001,97.602371,22.078825,48.105526,74.029938,51.05275
2016-02-02,109.330002,27.942429,118.0,83.259804,23.290001,96.62664,21.467613,47.783245,73.702415,50.639748
2016-02-03,108.849998,27.783241,118.839996,83.220917,23.5,95.857887,21.721502,47.442001,73.355629,53.352425
2016-02-04,108.330002,27.155846,117.919998,84.698845,23.49,96.143707,22.135242,46.058083,73.403778,53.277328
2016-02-05,106.169998,27.183939,115.470001,81.383224,23.200001,93.640327,21.524031,46.806919,71.727638,49.860676
2016-02-08,100.940002,26.743826,113.620003,77.182808,22.48,90.70327,21.561644,46.285576,69.96479,49.644787
2016-02-09,102.529999,27.249485,115.830002,77.814812,22.01,90.575157,21.298357,46.598381,70.398277,50.198586
2016-02-10,104.589996,27.614687,117.68,77.853722,22.32,91.570602,21.16671,46.9491,71.438644,49.485218
2016-02-11,101.400002,27.277578,116.459999,76.278542,22.08,90.35833,23.207214,46.304531,69.955162,48.978348
2016-02-12,103.019997,27.492952,118.410004,80.031708,22.49,90.456879,23.611557,46.475151,70.706535,49.353806
2016-02-16,104.5,27.914333,120.019997,81.402679,22.950001,92.270363,24.297991,47.186069,71.997375,50.226742
2016-02-17,105.800003,27.745783,122.129997,83.717308,23.219999,93.995132,24.880991,47.963341,72.825806,51.634708
2016-02-18,108.629997,27.670868,121.199997,83.727074,23.530001,93.719162,24.852779,47.697933,72.218925,51.20293
2016-02-19,108.720001,27.614687,121.370003,83.658714,23.809999,93.4235,24.965622,47.508358,72.613876,50.958885
2016-02-22,110.57,28.139074,122.690002,86.061241,24.24,93.768448,25.040844,48.124485,73.86618,51.888138
2016-02-23,109.400002,28.054798,121.07,84.918549,23.620001,92.21122,24.561281,47.906467,73.018471,51.691029
2016-02-24,110.18,28.110985,120.760002,84.625587,23.959999,92.98983,24.749342,47.925426,73.625351,51.522068
2016-02-25,110.720001,28.644735,121.809998,86.569099,24.18,95.493217,25.012638,48.342506,74.810219,52.751694
2016-02-26,111.029999,28.307629,121.839996,86.530014,24.18,96.123993,24.833977,48.001255,74.453789,52.563969
2016-02-29,109.839996,27.783241,120.309998,86.725349,23.799999,95.414375,24.617701,47.593666,74.550125,51.259254
2016-03-01,111.18,28.129711,123.550003,89.401329,24.25,95.986015,25.22891,49.053421,71.457924,52.883102
2016-03-02,109.870003,28.073526,126.029999,90.143585,23.719999,96.035301,25.294735,49.546326,71.852859,52.282375
2016-03-03,111.919998,27.98925,126.349998,92.643761,23.940001,97.464386,25.266525,49.385178,72.170761,52.49826
2016-03-04,112.169998,27.820694,127.099998,93.171143,24.41,97.858627,25.200701,49.366222,72.835442,52.704765
2016-03-07,111.830002,27.895609,128.009995,92.253105,24.26,99.228584,25.520411,49.897045,73.220779,52.939426
2016-03-08,110.32,27.492952,127.75,90.61235,24.07,99.100464,25.435781,49.716938,72.671669,51.925682
2016-03-09,111.139999,27.848787,127.919998,90.885818,23.950001,98.932907,25.962362,49.631634,72.777649,52.930035
2016-03-10,111.43,27.70833,127.489998,90.954185,23.690001,99.405983,25.74609,50.276203,73.471214,52.779854
2016-03-11,115.489998,28.560459,129.149994,92.292175,24.02,103.092079,26.197443,50.869038,74.511597,54.187813
2016-03-14,115.029999,28.185896,128.960007,91.491325,24.280001,103.535591,26.046997,50.754295,74.68499,53.699722
2016-03-15,112.580002,27.661507,129.160004,91.4132,23.58,102.806259,26.00938,50.123211,74.029938,52.207279
2016-03-16,114.07,27.193304,129.949997,92.507042,23.68,102.756973,26.216249,49.664246,73.837265,52.854942
2016-03-17,112.330002,27.474226,127.760002,95.222084,23.76,102.096626,26.507755,49.272209,72.729477,51.925682
2016-03-18,114.669998,27.577229,129.949997,94.792358,23.77,103.003372,26.639397,49.960659,73.461586,53.098991
2016-03-21,114.120003,28.157804,130.149994,93.698532,24.34,102.875244,26.507755,50.486557,72.450127,52.573349
2016-03-22,113.889999,28.44809,129.979996,93.669243,24.129999,102.904808,26.592382,50.706482,72.556625,53.971928
2016-03-23,113.919998,28.270172,130.649994,92.057785,24.17,102.924522,26.169235,50.754295,72.130615,52.901875
