Date,FB,AMZN,ATVI,V,MSFT,HD,AIZ,FISV,MCD,GPN
2015-12-31,104.660004,675.890015,38.163872,76.402229,53.084164,127.218826,77.314865,91.459999,112.394363,64.447533
2016-01-04,102.220001,636.98999,37.089252,74.579597,52.433533,126.08374,75.37574,89.5,111.86161,62.519413
2016-01-05,102.730003,633.789978,36.616024,75.141167,52.672737,125.468063,76.633286,89.910004,113.402809,63.488461
2016-01-06,102.970001,632.650024,36.270962,74.155975,51.715916,124.169418,75.625328,89.230003,112.641731,63.688271
2016-01-07,97.919998,607.940002,35.758301,72.697876,49.917099,120.629433,73.926216,88.209999,110.034988,61.300591
2016-01-08,97.330002,607.049988,35.2062,71.801346,50.070198,119.186493,73.023849,87.529999,109.863731,60.121727
2016-01-11,97.510002,617.73999,35.699146,72.825943,50.041489,120.994965,74.300598,87.940002,111.014893,58.463341
2016-01-12,99.370003,617.890015,36.596306,73.653526,50.500759,122.639915,74.674973,89.309998,111.728409,58.463341
2016-01-13,95.440002,581.809998,34.368191,72.018089,49.409988,116.781601,75.30854,86.830002,109.52124,56.345394
2016-01-14,98.370003,593.0,34.900574,72.707733,50.816513,115.069313,76.15332,89.029999,110.948303,57.304462
2016-01-15,94.970001,570.179993,34.417484,70.766891,48.788059,114.694145,75.13575,87.339996,109.578323,57.044716
2016-01-19,95.260002,574.47998,34.654099,70.333405,48.376629,115.203987,75.37574,89.040001,111.7855,57.2645
2016-01-20,94.349998,571.77002,34.220306,69.633919,48.596699,112.029533,73.57103,88.949997,110.149139,57.973812
2016-01-21,94.160004,575.02002,34.072426,70.50087,48.300083,115.646492,74.108604,89.639999,112.108955,57.234531
2016-01-22,97.940002,596.380005,35.413235,71.624016,50.031921,118.089859,76.287697,91.489998,112.641731,58.803017
2016-01-25,97.010002,596.530029,34.240025,70.678215,49.553509,117.079803,74.982162,90.160004,113.402809,57.604172
2016-01-26,97.339996,601.25,34.801983,70.816147,49.917099,117.551163,76.038116,91.400002,114.572998,58.603207
2016-01-27,94.449997,583.349976,33.589336,69.860504,49.008129,116.945137,75.788528,90.449997,114.9916,56.495243
2016-01-28,109.110001,635.349976,33.313286,68.303886,49.811855,117.62812,76.268494,91.019997,116.428154,55.795925
2016-01-29,112.209999,587.0,34.328754,73.38752,52.711006,120.975739,78.054024,94.559998,117.760063,58.892918
2016-02-01,115.089996,574.809998,34.18087,73.279144,52.347412,121.697205,77.737228,94.370003,118.549706,59.562271
2016-02-02,114.610001,552.099976,32.948505,72.313652,50.711258,120.504372,76.15332,93.040001,117.921799,56.495243
2016-02-03,112.690002,531.070007,32.652737,73.279144,49.907536,119.080673,76.268494,94.800003,115.562416,57.27449
2016-02-04,110.489998,536.26001,31.489388,72.5895,49.754448,116.502632,75.490944,96.529999,114.791817,57.63414
2016-02-05,104.07,502.130005,30.099279,70.481186,47.993904,112.000664,75.337341,94.589996,109.787628,55.706013
2016-02-08,99.75,488.100006,28.314814,66.766975,47.276287,107.594902,73.177444,91.809998,110.406021,52.489132
