Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,63.200001,63.669998,62.630001,62.66,60.360294,562900
2016-01-04,61.68,61.75,60.150002,61.200001,58.953873,1241800
2016-01-05,61.139999,61.77,60.950001,61.669998,59.406628,784300
2016-01-06,60.860001,61.529999,60.540001,60.950001,58.713055,623300
2016-01-07,59.830002,60.419998,59.080002,59.119999,56.950214,796500
2016-01-08,59.599998,60.439999,59.27,59.689999,57.499287,1364400
2016-01-11,59.84,60.220001,58.790001,59.709999,57.518559,1043000
2016-01-12,60.049999,60.490002,59.290001,59.900002,57.701591,893200
2016-01-13,59.939999,60.52,58.459999,58.669998,56.516731,919000
2016-01-14,58.84,60.52,58.720001,59.93,57.730488,1038600
2016-01-15,58.23,59.189999,57.869999,58.939999,56.776821,965400
2016-01-19,59.650002,59.650002,58.360001,58.970001,56.805725,787500
2016-01-20,58.169998,59.52,57.060001,59.02,56.853886,785400
2016-01-21,59.389999,59.59,58.610001,58.889999,56.728657,1053800
2016-01-22,60.0,60.790001,59.610001,60.740002,58.510754,893900
2016-01-25,60.139999,60.389999,57.959999,58.16,56.025452,1273500
2016-01-26,58.07,59.939999,57.619999,59.610001,57.42223,743000
2016-01-27,59.32,60.240002,59.200001,59.700001,57.50893,1243500
2016-01-28,60.080002,60.18,59.169998,59.349998,57.171776,676100
2016-01-29,59.650002,60.970001,59.27,60.889999,58.655254,907400
2016-02-01,60.669998,61.18,60.200001,61.029999,58.790112,1704100
2016-02-02,60.310001,60.560001,59.380001,59.860001,57.663059,1287700
2016-02-03,63.799999,66.370003,62.650002,63.740002,61.400658,2587700
2016-02-04,63.43,64.800003,63.43,64.370003,62.007526,1799800
2016-02-05,64.120003,64.650002,62.93,63.200001,60.880478,1048500
2016-02-08,62.73,62.73,60.639999,61.330002,59.079105,1066500
2016-02-09,60.73,63.470001,60.369999,62.889999,60.581848,1535400
2016-02-10,63.330002,64.5,62.950001,63.040001,60.726345,1017800
