Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,26.219999,26.49,26.139999,26.190001,25.223381,2307000
2016-01-04,25.709999,25.99,25.455,25.799999,24.847776,5598700
2016-01-05,25.77,25.950001,25.52,25.68,24.732206,6389300
2016-01-06,25.299999,25.530001,25.15,25.280001,24.346972,5418800
2016-01-07,24.790001,24.915001,24.299999,24.59,23.682432,4976700
2016-01-08,24.809999,24.879999,23.66,23.82,22.940855,10583700
2016-01-11,24.18,24.24,23.67,23.9,23.0179,6954500
2016-01-12,24.1,24.15,23.59,23.9,23.0179,7081700
2016-01-13,24.08,24.15,22.955,23.219999,22.362997,8078100
2016-01-14,23.34,23.379999,22.6,22.9,22.05481,9374000
2016-01-15,22.190001,22.469999,21.700001,22.32,21.496216,12940800
2016-01-19,22.6,22.705,22.040001,22.23,21.409538,9794300
2016-01-20,21.870001,21.969999,21.0,21.6,20.802792,11155900
2016-01-21,21.629999,21.84,21.125,21.33,20.542753,9819600
2016-01-22,21.65,21.799999,19.75,20.780001,20.013054,23182200
2016-01-25,20.780001,20.915001,19.73,19.790001,19.059591,12599300
2016-01-26,19.969999,20.57,19.969999,20.290001,19.541142,16111400
2016-01-27,20.98,21.610001,20.799999,21.209999,20.427185,33935400
2016-01-28,21.5,21.85,21.139999,21.74,20.93762,21317800
2016-01-29,21.879999,21.950001,21.25,21.25,20.465708,94875300
2016-02-01,21.110001,21.209999,20.559999,20.780001,20.013054,10617700
2016-02-02,20.51,20.620001,20.08,20.209999,19.55821,12990500
2016-02-03,20.27,20.305,19.25,20.049999,19.403372,14336100
2016-02-04,20.040001,20.549999,19.889999,20.23,19.577564,9238300
2016-02-05,20.26,20.620001,19.76,19.85,19.209822,8105900
2016-02-08,19.52,19.74,18.950001,19.200001,18.580784,10227000
2016-02-09,18.93,19.610001,18.889999,19.549999,18.919495,9425100
2016-02-10,19.629999,19.76,18.795,18.860001,18.251751,10445600
2016-02-11,18.450001,18.65,18.040001,18.139999,17.554972,8392700
2016-02-12,18.6,18.99,18.32,18.889999,18.280781,9360800
2016-02-16,19.15,19.754999,18.9,19.360001,18.735626,8897700
2016-02-17,19.59,20.25,19.450001,19.65,19.01627,9440400
2016-02-18,19.67,19.809999,18.959999,19.110001,18.493685,7980000
2016-02-19,19.110001,19.299999,18.885,19.24,18.619493,4536100
2016-02-22,19.57,19.82,19.440001,19.799999,19.16143,4789700
