Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,27.379999,27.450001,27.139999,27.16,25.341749,17041500
2016-01-04,26.389999,26.42,25.879999,26.41,24.833977,35827100
2016-01-05,26.540001,26.66,26.18,26.290001,24.721138,22024900
2016-01-06,26.08,26.139999,25.82,26.01,24.457848,30799800
2016-01-07,25.49,25.74,25.120001,25.41,23.89365,43235400
2016-01-08,25.549999,25.629999,24.719999,24.780001,23.301247,28609700
2016-01-11,24.93,25.35,24.93,25.27,23.762003,32224100
2016-01-12,25.51,25.57,25.030001,25.35,23.837233,30122400
2016-01-13,25.42,25.52,24.57,24.6,23.131989,33431600
2016-01-14,24.690001,24.9,24.459999,24.66,23.188408,42902400
2016-01-15,23.93,24.43,23.57,23.620001,22.210468,64092800
2016-01-19,23.799999,24.030001,23.59,23.85,22.426744,52533500
2016-01-20,23.4,23.51,22.469999,22.9,21.533436,83632400
2016-01-21,23.09,23.450001,22.870001,22.9,21.533436,46267900
2016-01-22,23.6,23.639999,22.99,23.370001,21.975389,55049000
2016-01-25,23.379999,23.52,23.139999,23.17,21.787325,64066100
2016-01-26,23.24,23.85,23.24,23.719999,22.304501,25140300
2016-01-27,23.690001,23.9,23.299999,23.43,22.031807,24654000
2016-01-28,23.73,23.790001,22.98,23.110001,21.730904,31833500
2016-01-29,23.4,23.799999,23.200001,23.790001,22.370323,39692600
2016-02-01,23.459999,23.57,23.23,23.48,22.078825,24006400
2016-02-02,23.23,23.25,22.73,22.83,21.467613,36203700
2016-02-03,23.09,23.18,22.58,23.1,21.721502,32231400
2016-02-04,23.17,23.57,22.93,23.540001,22.135242,29158000
2016-02-05,23.51,23.66,22.809999,22.889999,21.524031,32641000
2016-02-08,22.629999,23.02,22.48,22.93,21.561644,38842100
2016-02-09,22.6,22.860001,22.530001,22.65,21.298357,30167400
2016-02-10,23.129999,23.129999,22.459999,22.51,21.16671,36896100
2016-02-11,24.09,24.969999,24.09,24.68,23.207214,92696000
2016-02-12,24.889999,25.360001,24.52,25.110001,23.611557,49753600
2016-02-16,25.27,25.98,25.190001,25.84,24.297991,40401700
2016-02-17,26.17,26.59,26.08,26.459999,24.880991,36904700
2016-02-18,26.440001,26.58,26.280001,26.43,24.852779,31288200
2016-02-19,26.27,26.559999,26.25,26.549999,24.965622,28791700
2016-02-22,26.870001,26.91,26.42,26.629999,25.040844,24608100
2016-02-23,26.540001,26.540001,26.059999,26.120001,24.561281,28097500
2016-02-24,25.889999,26.33,25.65,26.32,24.749342,22960800
2016-02-25,26.49,26.6,26.200001,26.6,25.012638,18541900
2016-02-26,26.799999,26.85,26.32,26.41,24.833977,18113000
2016-02-29,26.42,26.65,26.15,26.18,24.617701,24763100
2016-03-01,26.450001,26.93,26.24,26.83,25.22891,25245400
2016-03-02,26.799999,26.91,26.6,26.9,25.294735,19020100
