Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,9.58,9.73,9.54,9.6,9.210814,9616300
2016-01-04,9.35,9.48,9.3,9.44,9.057302,17834000
2016-01-05,9.45,9.51,9.33,9.42,9.038113,16058300
2016-01-06,9.26,9.34,9.18,9.26,8.884599,17107900
2016-01-07,9.05,9.17,8.96,8.96,8.596762,27113600
2016-01-08,9.04,9.1,8.73,8.76,8.404868,23234600
2016-01-11,8.84,8.9,8.57,8.68,8.328113,19536900
2016-01-12,8.78,8.82,8.52,8.74,8.38568,18781200
2016-01-13,8.81,8.83,8.28,8.33,7.992301,27971600
2016-01-14,8.38,8.48,8.17,8.36,8.021085,43913000
2016-01-15,7.18,8.26,7.08,8.2,7.867571,37304300
2016-01-19,8.31,8.4,8.0,8.08,7.752437,29177900
2016-01-20,7.86,8.03,7.6,7.9,7.579733,34519400
2016-01-21,7.86,8.08,7.78,7.83,7.512571,31909000
2016-01-22,7.96,8.1,7.91,7.93,7.608518,17985400
2016-01-25,7.87,7.91,7.55,7.57,7.263112,18528400
2016-01-26,7.63,7.93,7.63,7.82,7.502977,22774100
2016-01-27,7.81,8.18,7.75,7.95,7.627706,28181600
2016-01-28,8.08,8.26,7.98,8.01,7.685275,29478000
2016-01-29,8.02,8.15,7.96,8.12,7.790815,26117500
2016-02-01,8.13,8.15,7.88,7.94,7.618112,24594000
2016-02-02,7.78,7.78,7.56,7.63,7.32068,27109100
2016-02-03,7.7,7.87,7.34,7.82,7.502977,34311700
2016-02-04,7.76,8.1,7.74,7.9,7.579733,22182500
2016-02-05,7.95,8.05,7.78,7.8,7.483788,20024500
2016-02-08,7.67,7.68,7.37,7.53,7.224735,26654500
2016-02-09,7.37,7.7,7.34,7.65,7.339869,22661300
2016-02-10,7.7,7.79,7.51,7.51,7.205544,23601200
2016-02-11,7.25,7.3,7.0,7.08,6.792977,28325600
2016-02-12,7.24,7.63,7.22,7.6,7.291896,32594900
2016-02-16,7.76,7.93,7.62,7.84,7.522166,24383700
2016-02-17,7.94,8.02,7.76,7.82,7.502977,20674900
2016-02-18,7.9,7.9,7.51,7.62,7.311085,24287600
2016-02-19,7.59,7.75,7.49,7.65,7.339869,19930100
2016-02-22,7.79,7.91,7.77,7.9,7.579733,16755900
2016-02-23,7.86,7.9,7.5,7.57,7.263112,19334700
2016-02-24,7.4,7.45,7.21,7.42,7.119193,22039600
2016-02-25,7.43,7.55,7.35,7.51,7.205544,15088200
2016-02-26,7.64,7.87,7.56,7.75,7.435815,19076300
2016-02-29,7.71,7.74,7.52,7.52,7.215139,17443400
2016-03-01,7.61,7.99,7.59,7.98,7.656491,17608800
2016-03-02,8.0,8.17,7.96,8.12,7.790815,16713300
2016-03-03,8.11,8.3,8.08,8.28,7.944328,20963500
2016-03-04,8.37,8.57,8.29,8.39,8.04987,26469200
2016-03-07,8.27,8.43,8.25,8.38,8.040274,14909500
2016-03-08,8.27,8.3,7.95,8.05,7.723653,29012400
2016-03-09,8.09,8.12,7.83,7.87,7.607653,22307700
